"public_sku","manufacturer_mpn","manufacturer","title","source_class","source_domain","response_status","resolution","match_status","rights_status","recommended_action","approval_checkbox","reviewer_status","reviewer_notes"
"C4-CJM","C4-CJM","Antennas Direct","Clearstream 4 Outdoor Antenna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"C4-V-CJM","C4-V-CJM","Antennas Direct","Ind/outdr Hdtv Ant/mnt","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"C5","C5","Antennas Direct","Clearstream 5 Dtv Antenna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"CJMOUNT","CJMOUNT","Antennas Direct","Antenna Mount","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"DB8-E","DB8-E","Antennas Direct","DB8E Bowtie UHF Antenna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"MAST40","MAST40","Antennas Direct","40IN ClearStream Universal Mast","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"BK350","BK350","APC","Back-UPS CS 350 VA Tower","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"BE550G","BE550G","APC","550VA 8-OUT Back-ups Es","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"BE650G1","BE650G1","APC","Back-UPS 650 VA Battery Backup","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"BK500","BK500","APC","Back-ups 500 System","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"BR1500MS2","BR1500MS2","APC","Back-UPS Pro 1500 VA Tower with 10 AC Outlets and 2 USB Ports","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"BX1000M","BX1000M","APC","1000VA 8-OUT Back Ups Pro","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"BX850M","BX850M","APC","850VA 8-OUT Back Ups Pro","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"ATCRL32102","ATCRL32102","At&t","DECT Big Button Cordless Das","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"P300","P300","Clarity","Amplified Photo Phone","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"52703","52703","Clarity","Expandable Handset","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"53712","53712","Clarity","Amp Cordless Phone W/dig Answr","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"53714","53714","Clarity","D714 40DB Ampd Cordless Phone","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"54505.001","54505.001","Clarity","Alto Plus Amp Corded Phone","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"59865.001","59865.001","Clarity","XLC8 DECT 6.0 50 dB Amplified Cordless Phone System","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"59234.001","59234.001","Clarity","DECT 6.0 50 dB Amplified Cordless Phone with Big Buttons","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"CP1500AVRLCD3","CP1500AVRLCD3","Cyberpower","Intelligent Lcd Ups","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"45-0001-UWH","45-0001-UWH","Datacomm Electronics","Uwhite 1 Gang Recessed","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"50-3321-WH-KIT","50-3321-WH-KIT","Datacomm Electronics","Flat Panel Cable Org Rem Kit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"50-3323-WH-KIT","50-3323-WH-KIT","Datacomm Electronics","Recessed Pair Power Kit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"50-6623-WH-KIT","50-6623-WH-KIT","Datacomm Electronics","Flat Panel Cable Org Dup Power","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
